Description,Corrected Description,Matched Title,Matched URL,Type,Set of,Qty,MRP (Per Pc),Cost Price (Per pc),Selling Price,Discount on MRP (Cost),Selling Discount,Total Cost,Total Selling
Ashely,16pcs Dinner Set Ashley,16pcs Square Dinner Set Ashley,https://ektraindia.com/shop/dine-in-style/dinner-sets/16pcs-dinner-set-ashley/,Dinner Set,16,2,5500,2750,3850,50.00%,30.00%,5500,7700
Golden strock,16pcs Dinner Set Golden Strokes,16pcs Dinner Set Golden Strokes,https://ektraindia.com/shop/dine-in-style/dinner-sets/16pcs-dinner-set-golden-strokes/,Dinner Set,16,2,5500,2750,3850,50.00%,30.00%,5500,7700
Rose whisper,20pcs Dinner Set Rose Whisper,20pcs Dinner Set Rose Whisper,https://ektraindia.com/product-category/dine-in-style/?add-to-cart=27302,Dinner Set,20,1,6000,3000,4200,50.00%,30.00%,3000,4200
3.5 ltrHotpot,Triply Bohara Hotpot 3.5 Ltr,Triply Bohara Hotpot 3.5ltr (Steel Series),https://ektraindia.com/shop/steel-series/,Hot Pot (Steel Series),1,1,2930,1465,2051,50.00%,30.00%,1465,2051
5ltrhotpot,Triply Bohara Hotpot 5 Ltr,Triply Bohara Hotpot 5ltr,https://ektraindia.com/shop/steel-series/triply-bohara-hotpot-5ltr-3/,Hot Pot (Steel Series),1,1,3400,1700,2380,50.00%,30.00%,1700,2380
Rise  n shine,Rise N Shine (serving set),Rise N Shine - Serveware (multiple Rise N Shine SKUs),https://ektraindia.com/shop/serveware/serving-sets/4-pc-set-rise-n-shine-bowl/,Serveware / Bowl Set,4,5,1350,675,945,50.00%,30.00%,3375,4725
Ethnic bowl,3pcs Ethnic Serving Bowls (example),3pcs Set Ethnic Serving Bowls,https://ektraindia.com/shop/dine-in-style/serving-bowls/3pcs-set-two-tone-ethnic-bowl-oriental-gold/,Serving Bowls,3,1,1450,725,1015,50.00%,30.00%,725,1015
Rose Whispwer servingbowl6inch,2pcs Set Serving Bowl 6inch Rose Whisper,2pcs Set Serving Bowl 6inch Rose Whisper,https://ektraindia.com/shop/dine-in-style/serving-bowls/2pcs-set-serving-bowl-6inch-rose-whisper/,Serving Bowls,2,2,850,425,595,50.00%,30.00%,850,1190
Rose whispwer 8inch,2pcs Set Serving Bowl 7/8inch Rose Whisper (approx.),"Serving Bowls - Rose Whisper variants (6""/7"")",https://ektraindia.com/product-category/dine-in-style/,Serving Bowls,2,2,1200,600,840,50.00%,30.00%,1200,1680
Tray with round miniRivahh,3pcs Set Tray with Round Mini Small Rivaah,3Pcs Set Tray with Round Mini Small Rivaah,https://ektraindia.com/shop/serveware/serving-sets/3pcs-set-tray-with-round-mini-small-rivaah/,Serving Set / Tray,3,2,1450,725,1015,50.00%,30.00%,1450,2030
kalam,3pcs Set Tray with Round Mini Kalam,3pcs Set Tray with Round Mini Kalam,https://ektraindia.com/shop/serveware/serving-sets/3pcs-set-tray-with-round-mini-kalam/,Serving Set / Tray,3,2,1450,725,1015,50.00%,30.00%,1450,2030
Butterflybush,3pcs Set Tray with Round Mini Butterfly Bush,3pcs Set Tray with Round Mini Butterfly Bush,https://ektraindia.com/shop/serveware/serving-sets/3pcs-set-tray-with-round-mini-butterfly-bush/,Serving Set / Tray,3,2,1450,725,1015,50.00%,30.00%,1450,2030
Tray with tumblersingle tone blushing meadow,5Pcs Set Tray with Tumbler Single tone Blushing Meadow,5Pcs Set Tray with Tumbler Single tone Blushing Meadow,https://ektraindia.com/shop/serveware/serving-sets/5pcs-set-tray-with-tumbler-single-tone-blushing-meadow/,Serving Set / Tray with Tumblers,5,2,1140,570,798,50.00%,30.00%,1140,1596
Tray with mini nakashi,3pcs Set Tray with Round Mini Nakashi,3pcs Set Tray with Round Mini Nakashi,https://ektraindia.com/shop/serveware/serving-sets/3pcs-set-tray-with-round-mini-nakashi/,Serving Set / Tray,3,2,1450,725,1015,50.00%,30.00%,1450,2030
Rose whisper tea cup,4pcs Tea Cup Rose Whisper (set),4Pcs Set Tea Cup Rose Whisper (various listings),https://ektraindia.com/shop/serveware/mugs-tea-cups/4pcs-set-ic1317-tea-cup-3-rose-whisper/,Tea Cup Set,4,3,1250,625,875,50.00%,30.00%,1875,2625
four season bowl(golden charm,Four Season Bowl - Golden Charm (4pcs),4pcs Set Four Season Bowl Golden Charm,https://ektraindia.com/shop/serveware/serving-sets/4pcs-set-49d-four-season-bowl-golden-charm-with-4pcs-spoon/,Dessert/Serving Bowl Set,4,4,1000,500,700,50.00%,30.00%,2000,2800
Oriental square bowl,4pcs Square Snack Bowls - Oriental Gold,4pcs Set Square Snack Bowls Oriental Gold,https://ektraindia.com/shop/serveware/serving-sets/4pcs-set-square-snack-bowls-oriental-gold/,Snack Bowls / Serving Set,4,1,900,450,630,50.00%,30.00%,450,630
orientalicecearm bowl,8pcs Dessert Set Oriental Gold (ice-cream bowls),8pcs Dessert Set Oriental Gold,https://ektraindia.com/shop/serveware/dessert-sets/8pcs-dessert-set-oriental-gold/,Dessert / Ice-cream Bowl Set,8,1,1200,600,840,50.00%,30.00%,600,840
salad plate golden strock,Salad Plate Golden Strokes,Salad Plate Golden Strokes,https://ektraindia.com/shop/dine-in-style/coordinates/serving-coordinates/salad-plate-golden-stroke/,Serving Coordinates / Salad Plate,1,2,500,250,350,50.00%,30.00%,500,700
icecream masakali,8pcs Ice Cream Set - Masakali,8Pcs Set Ice Cream Set Masakali,https://ektraindia.com/shop/uncategorized/8pcs-set-ice-cream-set-masakali-design-sale-12000/,Dessert / Ice-cream Set,8,1,1200,600,840,50.00%,30.00%,600,840
4pcs dandellon tumbler,4pcs Tumbler - Blue Dandelion,4pcs Tumbler Blue Dandelion,https://ektraindia.com/shop/serveware/tumblers/4pcs-two-tone-tumbler-blue-dandelion/,Tumblers,4,1,994,497,695.8,50.00%,30.00%,497,695.8
two tone white @green,4pcs Set Kullad Green & White (Two Tone),4pcs Set Kullad Green & White,https://ektraindia.com/shop/serveware/tumblers/4pcs-set-kullad-green-white/,Tumblers / Kullad,4,1,976,488,683.2,50.00%,30.00%,488,683.2
4pcslumchmatedenim with bag,4Pcs Lunch Mate Denim with Bag,4Pcs Lunch Mate Demin with Bag,https://ektraindia.com/shop/on-the-go-kids/lunch-boxes/4pcs-lunch-mate-demin-with-bag/,Lunch Boxes / On-the-go,4,4,1310,655,917,50.00%,30.00%,2620,3668
Tea sugar cofee,3pcs Set Tea Coffee Sugar (storage jars),3pcs Set Tea Coffee Sugar Multi,https://ektraindia.com/shop/storage/kitchen-containers/3pcs-set-tea-coffee-sugar-multi/,Kitchen Containers / Storage,3,2,2000,1000,1400,50.00%,30.00%,2000,2800
3pcs lunch :ate,3Pcs Lunch Mate (example SKU),3pcs Lunch Mate Check Blue & Black (with bag),https://ektraindia.com/shop/on-the-go-kids/lunch-boxes/3pcs-lunch-set-check-blue-and-black-with-bag/,Lunch Boxes / On-the-go,3,3,1004,502,702.8,50.00%,30.00%,1506,2108.4
Rosedake arebiean plateer,Arabian Platter Set - Nakashi / Rosedale variants,Arabian Platter Set Nakashi,https://ektraindia.com/shop/dine-in-style/,Platter / Serving Coordinates,1,1,5000,1950,1950,,,,
Rosedale rectangke mega,Store N Safe Rect Mega - Rosedale (Rect Mega),Store N Safe Rect Mega Rosedale,https://ektraindia.com/shop/storage/kitchen-containers/store-n-safe-rect-mega-spring-vibe-sf2/,Storage / Containers,1,4,810,405,,,,,
